idcan,csen,lista,partido,cpartido,n_cartilla,genero,nombre,esind
5001-A-1,5001,A,PDG,PDG,1,M,NORA DEL CARMEN BUGUEÑO AGUILERA,0
5001-A-2,5001,A,PDG,PDG,2,H,SERGIO HUMBERTO RIOS GAMBOA,0
5001-A-3,5001,A,PDG,PDG,3,M,KARLA ANGELICA AÑES GAJARDO,0
5001-A-4,5001,A,PDG,PDG,4,H,ERNESTO RODRIGO PLASENCIA ROJAS,0
5001-B-5,5001,B,IND-PPD,PPD,5,M,MACARENA RIVEROS OYARZO,1
5001-B-6,5001,B,IND-PPD,PPD,6,H,SALVADOR URRUTIA CARDENAS,1
5001-B-7,5001,B,IND-PDC,PDC,7,M,GLORIA LILLO REBOLLEDO,1
5001-B-8,5001,B,PDC,PDC,8,H,RAUL RAMON CASTRO LETELIER,0
5001-C-9,5001,C,REPUBLICANO,REPUBLICANO,9,M,FRANCISCA MARINA CAVIERES DIAZ,0
5001-C-10,5001,C,REPUBLICANO,REPUBLICANO,10,H,DIEGO ALBERTO VARGAS CASTILLO,0
5001-C-11,5001,C,REPUBLICANO,REPUBLICANO,11,M,JACQUELINE CAROLINA BOERO CARVAJAL,0
5001-C-12,5001,C,REPUBLICANO,REPUBLICANO,12,H,CARLOS MIGUEL ALVARADO AGUIRRE,0
5001-D-13,5001,D,IND-PL,PL,13,M,MIRIAM ARENAS SANDOVAL,1
5001-D-14,5001,D,IND-PL,PL,14,H,RODRIGO LEONARDO MUÑOZ PONCE,1
5001-D-15,5001,D,IND-PS,PS,15,M,JOCELYN  ORMEÑO LEE,1
5001-D-16,5001,D,IND-AH,AH,16,H,DANIEL ALEXANDRO BUNSTER RUIZ,1
5001-E-17,5001,E,IND-UDI,UDI,17,M,BRUNELLA  VINET MATTASOGLIO,1
5001-E-18,5001,E,UDI,UDI,18,H,RAUL  GIL GONZALEZ,0
5001-E-19,5001,E,IND-RN,RN,19,M,JOSEFINA LETELIER LARRAIN,1
5001-E-20,5001,E,RN,RN,20,H,JUAN MANUEL CARRASCO BARRA,0
5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0
5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0
5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0
5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0
5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0
5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0
